ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
296,Case Management,Pregnant Women,,Case Management Services High Risk Pregnant Women Age 21 and Over,,,Supplement 1 to Attachment 3.1-A,Page 01D.1,309,9/1/07,16-Jul,11-Mar,,,,,,,,,,,,,,,,,,,,,,,,
297,Case Management,Pregnant Women,,Case Management Services High Risk Pregnant Women Age 21 and Over,,,Supplement 1 to Attachment 3.1-A,Page 01D.2,310,10/1/14,14-50,13-15,16-Jul,11-Mar,,,,,,,,,,,,,,,,,,,,,,
298,Case Management,Pregnant Women,,Case Management Services High Risk Pregnant Women Age 21 and Over,,,Supplement 1 to Attachment 3.1-A,Page 01D.3,311,10/1/11,19-Nov,16-Jul,11-Mar,,,,,,,,,,,,,,,,,,,,,,,
299,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,"A. Target GroupB. Areas of State in which Services ProvidedC. Comparability of Services",Supplement 1 to Attachment 3.1-A,Page 01F,312,7/1/92,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
300,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,D. Definition of Services,Supplement 1 to Attachment 3.1-A,Page 01F.1,313,9/1/10,Oct-52,00-03,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,
301,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,D. Definition of Services,Supplement 1 to Attachment 3.1-A,Page 01F.2,314,9/1/10,Oct-52,00-03,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,
302,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,D. Definition of Services,Supplement 1 to Attachment 3.1-A,Page 01F.3,315,9/1/10,Oct-52,00-03,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,
303,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,E. Qualification of Providers,Supplement 1 to Attachment 3.1-A,Page 01F.4,316,9/1/10,Oct-52,00-03,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,
304,Case Management,IID,Infants/Toddlers,Case Management Services Infants Toddlers with Developmental Disabilities,,F. Case Management Provider Conditions for Participation,Supplement 1 to Attachment 3.1-A,Page 01F.5,317,9/1/10,Oct-52,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
305,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 01,318,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
306,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 02,319,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
307,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 03,320,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
308,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 04,321,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
309,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 05,322,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
310,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 06,323,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
311,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 07,324,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
312,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 08,325,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
313,LTSS,CAS,,Home and Community Care Services,,,Supplement 2 to Attachment 3.1-A ,Page 09,326,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
314,LTSS,CAS,,Home and Community Care Services,,Financial Eligibility for Services-Medicaid Eligibility Groups Served,Appendix A-1 to SPMT 2 Att 3.1-A ,Page 01,327,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
315,LTSS,CAS,,Home and Community Care Services,,Financial Eligibility for Services-Medicaid Eligibility Groups Served,Appendix A-1 to SPMT 2 Att 3.1-A ,Page 02,328,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
316,LTSS,CAS,,Home and Community Care Services,,Financial Eligibility for Services-Medicaid Eligibility Groups Served,Appendix A-2 to SPMT 2 Att 3.1-A ,Page 02,329,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
317,LTSS,CAS,,Home and Community Care Services,,Functional Disability,Appendix B-1 to SPMT 2 Att 3.1-A ,Page 01,330,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
318,LTSS,CAS,,Home and Community Care Services,,Functional Disability,Appendix B-1 to SPMT 2 Att 3.1-A ,Page 02,331,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
319,LTSS,CAS,,Home and Community Care Services,,Age,Appendix B-2 to SPMT 2 Att 3.1-A ,Page 01,332,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
320,LTSS,CAS,,Home and Community Care Services,,Individuals Previously Served Under Waiver Authority,Appendix B-3 to SPMT 2 Att 3.1-A ,Page 01,333,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
321,LTSS,CAS,,Home and Community Care Services,,Individuals Previously Served Under Waiver Authority,Appendix B-3 to SPMT 2 Att 3.1-A ,Page 02,334,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
322,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 01,335,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
323,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 02,336,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
324,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 03,337,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
325,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 04,338,9/1/03,17-Mar,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,
326,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 05,339,1/1/02,1-Feb,92-21,,,,,,,,,,,,,,,,,,,,,,,,
327,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 06,340,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
328,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 07,341,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
329,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 08,342,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
330,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 09,343,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
331,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 10,344,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
332,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 11,345,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
333,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 12,346,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
334,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 13,347,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
335,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 14,348,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
336,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 15,349,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
337,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 16,350,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
338,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 17,351,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
339,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 18,352,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
340,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 19,353,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
341,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 20,354,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
342,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 21,355,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
343,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 22,356,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
344,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 23,357,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
345,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 24,358,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
346,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 25,359,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
347,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 26,360,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
348,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 27,361,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
349,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 28,362,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
350,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 29,363,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
351,LTSS,CAS,,Home and Community Care Services,,Definition of Services,Appendix C-1 to SPMT 2 Att 3.1-A ,Page 30,364,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
352,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 01,365,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
353,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 02,366,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
354,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 03,367,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
355,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 04,368,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
356,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 05,369,9/1/03,17-Mar,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,
357,LTSS,CAS,,Home and Community Care Services,,Provider Qualifications,Appendix C-2 to SPMT 2 Att 3.1-A,Page 06,370,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
358,LTSS,CAS,,Home and Community Care Services,,Consumer Directed Services,Appendix C-2 to SPMT 2 Att 3.1-A,Page 07,371,1/1/02,1-Feb,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
359,LTSS,CAS,,Home and Community Care Services,,Assessment,Appendix D-1 to SPMT 2 Att 3.1-A ,Page 01,372,9/1/03,17-Mar,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
360,LTSS,CAS,,Home and Community Care Services,,Assessment,Appendix D-1 to SPMT 2 Att 3.1-A ,Page 02,373,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
361,LTSS,CAS,,Home and Community Care Services,,Assessment,Appendix D-1 to SPMT 2 Att 3.1-A ,Page 03,374,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
362,LTSS,CAS,,Home and Community Care Services,,Interdisciplinary Team,Appendix D-2 to SPMT 2 Att 3.1-A ,Page 01,375,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
363,LTSS,CAS,,Home and Community Care Services,,Interdisciplinary Team,Appendix D-2 to SPMT 2 Att 3.1-A ,Page 02,376,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
364,LTSS,CAS,,Home and Community Care Services,,Interdisciplinary Team,Appendix D-2 to SPMT 2 Att 3.1-A ,Page 03,377,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
365,LTSS,CAS,,Home and Community Care Services,,Individual Community Care Plan,Appendix E-1 to SPMT 2 Att 3.1-A ,Page 01,378,1/1/02,1-Feb,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
366,LTSS,CAS,,Home and Community Care Services,,Qualified Community Care Case Managers,Appendix E-2 to SPMT 2 Att 3.1-A ,Page 01,379,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
367,LTSS,CAS,,Home and Community Care Services,,Qualified Community Care Case Managers,Appendix E-2 to SPMT 2 Att 3.1-A ,Page 02,380,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
368,LTSS,CAS,,Home and Community Care Services,,Community Care Case Management Functions,Appendix E-3 to SPMT 2 Att 3.1-A ,Page 01,381,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
369,LTSS,CAS,,Home and Community Care Services,,Community Care Case Management Functions,Appendix E-3 to SPMT 2 Att 3.1-A ,Page 02,382,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
370,LTSS,CAS,,Home and Community Care Services,,Community Care Case Management Functions,Appendix E-3 to SPMT 2 Att 3.1-A ,Page 03,383,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
371,LTSS,CAS,,Home and Community Care Services,,Rights Specified in the Statute,Appendix F-1 to SPMT 2 Att 3.1-A ,Page 01,384,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
372,LTSS,CAS,,Home and Community Care Services,,Rights Specified in the Statute,Appendix F-1 to SPMT 2 Att 3.1-A ,Page 02,385,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
373,LTSS,CAS,,Home and Community Care Services,,Rights Specified in the Statute,Appendix F-2 to SPMT 2 Att 3.1-A ,Page 01,386,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
374,LTSS,CAS,,Home and Community Care Services,,Guidelines for Provider Compensation,Appendix F-3 to SPMT 2 Att 3.1-A ,Page 01,387,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
375,LTSS,CAS,,Home and Community Care Services,,Community Care Settings,Appendix G to SPMT 2 Att 3.1-A ,Page 01,388,7/1/91,91-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
376,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Eligibility,Supplement 3 to Attachment 3.1-A ,Page 01,389,8/1/03,7-Mar,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
377,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Eligibility,Supplement 3 to Attachment 3.1-A ,Page 02,390,8/1/03,7-Mar,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
378,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Eligibility,Supplement 3 to Attachment 3.1-A ,Page 03,391,8/1/03,7-Mar,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
379,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Eligibility,Supplement 3 to Attachment 3.1-A ,Page 04,392,8/1/03,7-Mar,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
380,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Rates and Payments,Supplement 3 to Attachment 3.1-A ,Page 05,393,11/1/03,14-Mar,7-Mar,,,,,,,,,,,,,,,,,,,,,,,,
381,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Enrollment and Disenrollment,Supplement 3 to Attachment 3.1-A ,Page 06,394,8/1/03,7-Mar,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
382,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Reimbursement Methodology,Supplement 3 to Attachment 3.1-A,Page 06a,395,10/1/16,16-06,7-Jun,14-Mar,,,,,,,,,,,,,,,,,,,,,,,
383,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Reimbursement Methodology,Supplement 3 to Attachment 3.1-A,Page 06b,396,10/1/16,16-06,29-Sep,14-Mar,,,,,,,,,,,,,,,,,,,,,,,
384,LTSS,PACE,,Program of All-Inclusive Care for the Elderly,A-27,Reimbursement Methodology,Supplement 3 to Attachment 3.1-A,Page 06c,397,10/1/16,16-06,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
385,Inpatient Hospital,Inpatient Hospital,,Inpatient Hospital Services,1,Inpatient Hospital Services,Appendix 1 to Attachment 3.1-A ,Page 01,398,9/1/97,97-10,91-27,90-23,SuperNone,,,,,,,,,,,,,,,,,,,,,,
386,Outpatient Hospital,Outpatient Hospital,,Outpatient Hospital Services,02.a,,Appendix 1 to Attachment 3.1-A ,Page 02,399,10/1/13,13-55,88-21,,,,,,,,,,,,,,,,,,,,,,,,
387,Outpatient Hospital,RHC,,Rural Health Clinic Services,02.b,,Appendix 1 to Attachment 3.1-A ,Page 03,400,2/1/92,92-01,88-21,,,,,,,,,,,,,,,,,,,,,,,,
388,Outpatient Hospital,FQHC,,Federally Qualified Health Center Services,02.c,,Appendix 1 to Attachment 3.1-A,Page 03a,401,4/1/90,90-24,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
389,Outpatient Hospital,FQHC,,Federally Qualified Health Center Services,02.c,,Appendix 1 to Attachment 3.1-A,Page 03a1,402,4/1/90,90-24,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
390,Clinical Labs,Other Lab and X-Ray,,Other Laboratory and X-ray Services,3,,Appendix 1 to Attachment 3.1-A ,Page 04,403,9/1/07,10-Jul,88-21,???,,,,,,,,,,,,,,,,,,,,,,,
391,Nursing Facility,Services,,Nursing Facility Services for Individuals 21 Years of Age or Older,04.a,,Appendix 1 to Attachment 3.1-A ,Page 05,404,12/6/15,15-16,91-15,88-21,,,,,,,,,,,,,,,,,,,,,,,
392,Nursing Facility,DME,ACD,Nursing Facility Services for Individuals 21 Years of Age or Older,04.a,Augmentive Communication Device,Appendix 1 to Attachment 3.1-A,Page 05a,405,4/1/06,16-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
393,Nursing Facility,DME,Wheel Chairs,Nursing Facility Services for Individuals 21 Years of Age or Older,04.a,Customized Powered Wheel Chairs,Appendix 1 to Attachment 3.1-A,Page 05b,406,2/17/07,1-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
394,Nursing Facility,DME,Adaptive Aids,Nursing Facility Services for Individuals 21 Years of Age or Older,04.a,Customized Adaptive Aids,Appendix 1 to Attachment 3.1-A,Page 05c,407,2/1/13,Nov-54,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
395,Nursing Facility,Therapies,Enhanced,Nursing Facility Services for Individuals 21 Years of Age or Older,04.a,Enhanced Therapy Services,Appendix 1 to Attachment 3.1-A,Page 05d,408,2/1/13,Nov-54,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
396,EPSDT,Dental,,EPSDT Services,04.b,"PA-Dental, Optometric Services",Appendix 1 to Attachment 3.1-A ,Page 06,409,1/1/13,13-10,96-02,95-31,93-25,90-04,84-07,77-16,76-57,75-47,,,,,,,,,,,,,,,,,
397,EPSDT,Optometry,,EPSDT Services,04.b,Optometric Services,Appendix 1 to Attachment 3.1-A,Page 06a,410,12/6/15,15-19,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
398,EPSDT,Optometry,,EPSDT Services,04.b,Optometric Services,Appendix 1 to Attachment 3.1-A ,Page 07,411,4/1/90,90-27,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
399,EPSDT,SUD,,EPSDT Services,04.b,Rehabilitative Chemical Dependency Treatment Facility Services,Appendix 1 to Attachment 3.1-A,Page 07a,412,9/1/10,17-Oct,8-Jun,91-33,,,,,,,,,,,,,,,,,,,,,,,
400,EPSDT,Audiology,,EPSDT Services,04.b,Audiology and Hearing Services,Appendix 1 to Attachment 3.1-A,Page 07b,413,10/1/12,Dec-37,4-Dec,,,,,,,,,,,,,,,,,,,,,,,,
401,EPSDT,Audiology,,EPSDT Services,04.b,Audiology and Hearing Services,Appendix 1 to Attachment 3.1-A,Page 07b.1,414,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
402,EPSDT,Counseling,,EPSDT Services,04.b,Counseling Services,Appendix 1 to Attachment 3.1-A,Page 07c,415,9/1/13,13-24,7-Sep,,,,,,,,,,,,,,,,,,,,,,,,
403,EPSDT,Counseling,,EPSDT Services,04.b,Counseling Services,Appendix 1 to Attachment 3.1-A,Page 07c.1,416,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
404,EPSDT,Nursing,,EPSDT Services,04.b,Nursing Services,Appendix 1 to Attachment 3.1-A,Page 07d,417,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
405,EPSDT,Therapies,Occupational Therapy,EPSDT Services,04.b,Occupational Therapy,Appendix 1 to Attachment 3.1-A,Page 07e,418,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
406,EPSDT,Therapies,Occupational Therapy,EPSDT Services,04.b,Occupational Therapy,Appendix 1 to Attachment 3.1-A,Page 07e.1,419,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
407,EPSDT,PCS,,EPSDT Services,04.b,Personal Care Services,Appendix 1 to Attachment 3.1-A,Page 07f,420,11/3/08,Aug-36,22-Jul,5-Jun,4-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,
408,EPSDT,Therapies,Physical Therapy,EPSDT Services,04.b,Physical Therapy,Appendix 1 to Attachment 3.1-A,Page 07g,421,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
409,EPSDT,Therapies,Physical Therapy,EPSDT Services,04.b,Physical Therapy,Appendix 1 to Attachment 3.1-A,Page 07g.1,422,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
410,EPSDT,Physicians,,EPSDT Services,04.b,Physician Services,Appendix 1 to Attachment 3.1-A,Page 07h,423,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
411,EPSDT,MH,,EPSDT Services,04.b,Psychological Services,Appendix 1 to Attachment 3.1-A,Page 07i,424,9/1/13,13-24,7-Sep,,,,,,,,,,,,,,,,,,,,,,,,
412,EPSDT,Therapies,Speech Therapy,EPSDT Services,04.b,Speech and Language Services,Appendix 1 to Attachment 3.1-A,Page 07j,425,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
413,EPSDT,Therapies,Speech Therapy,EPSDT Services,04.b,Speech and Language Services,Appendix 1 to Attachment 3.1-A,Page 07j.1,426,9/1/06,5-Jun,4-Apr,,,,,,,,,,,,,,,,,,,,,,,,
414,EPSDT,Transporation,SHARS,EPSDT Services,04.b,Transportation Services in the School Setting,Appendix 1 to Attachment 3.1-A,Page 07k,427,9/1/06,5-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
415,EPSDT,PDN,,EPSDT Services,04.b,Private Duty Nursing Services,Appendix 1 to Attachment 3.1-A,Page 07l,428,1/1/06,6-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
416,Case Management,EPSDT,,EPSDT Services,04.b,EPSDT Case Management,Appendix 1 to Attachment 3.1-A,Page 07m,429,1/1/12,4-Dec,16-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
417,Case Management,EPSDT,,EPSDT Services,04.b,EPSDT Case Management,Appendix 1 to Attachment 3.1-A,Page 07m.1,430,1/1/12,4-Dec,16-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
418,Case Management,EPSDT,,EPSDT Services,04.b,EPSDT Case Management,Appendix 1 to Attachment 3.1-A,Page 07m.2,431,10/1/14,14-50,13-15,,16-Jul,,,,,,,,,,,,,,,,,,,,,,
419,Case Management,EPSDT,,EPSDT Services,04.b,EPSDT Case Management,Appendix 1 to Attachment 3.1-A,Page 07m.3,432,1/1/12,4-Dec,16-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
420,EPSDT,Diagnostic,Lead,EPSDT Services,04.b,Diagnostic Services - Environmental Lead Investigative Services,Appendix 1 to Attachment 3.1-A,Page 07n,433,7/1/10,19-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
421,EPSDT,Rehab,,EPSDT Services-Specialized Rehabilitative Services,04.b,Provider Qualifications,Appendix 1 to Attachment 3.1-A,Page 07o,434,10/1/11,Oct-68,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
